tykk/72/www_vorumaateataja_ee.tykk:
<doc id="277476" length="1k-10k" crawl_date="2013-01-10" url="http://www.vorumaateataja.ee/index.php/ee/kuulutused/63-viimased-uudised/6106-voru-kohtumaja-moistis-kohut-ule-eestilise-kelmide-grupi-ule" web_domain="www.vorumaateataja.ee" langdiff="0.28" texttype="periodicals"> 
<gap/>
<p heading="1"> 
Reklaam    reklaam+0||S sg n||
riikidest    riik+dest||S pl el||
,    ,+||Z||
kes    kes+0||P pl n||+    kes+0||P sg n||
kriisi    kriis+0||S sg g|| %kriis+0||S sg p||
laenudega    laen+dega||S pl kom||
leevendasid    leevenda+sid||V sid||
,    ,+||Z||
kooris    koori+s||V s||
Eesti    Eesti+0||H sg n||
ju    ju+0||D||
lihtsalt    lihtsalt+0||D||
oma    oma+0||P sg g||
inimeste    inimene+te||S pl g||
isiklikku    isiklik+0||A sg p||
rahakotti    raha_kott+0||S sg p||
,    ,+||Z||
tegi    tege+i||V s||
selle    see+0||P sg g||
pooltühjaks    pool_tühi+ks||A sg tr||
ja    ja+0||J||
perekonnad    perekond+d||S pl n||
vaeseks    vaene+ks||A sg tr||
.    .+||Z||
</p>
<p heading="0"> 
Minu    mina+0||P sg g||
ema    ema+0||S sg n||
juba    juba+0||D||
õpetas    õpeta+s||V s||
,    ,+||Z||
et    et+0||J||
ära    ära+0||D||
laenu    laen+0||S sg p||
võta    võt+0||V o||
.    .+||Z||
Meie    mina+0||P pl g||
peres    pere+s||S sg in||
käis    käi+s||V s||
asi    asi+0||S sg n||
nii    nii+0||D||
,    ,+||Z||
et    et+0||J||
kui    kui+0||D||    kui+0||J||+
midagi    miski+dagi||P sg p||
suuremat    suurem+t||C sg p||
oli    ole+i||V s||
tarvis    tarvis+0||D||
osta    ost+a||V da||
,    ,+||Z||
siis    siis+0||J||
raha    raha+0||S sg p||
ei    ei+0||V neg||
laenatud    laena+tud||V tud||+    laena=tud+0||A||    laena=tud+0||A sg n||    laena=tud+d||A pl n||
,    ,+||Z||
vaid    vaid+0||J||
seda    see+da||P sg p||
koguti    kogu+ti||V ti||
.    .+||Z||
Alles    alles+0||D||
siis    siis+0||D||
,    ,+||Z||
kui    kui+0||D||    kui+0||J||+
summa    summa+0||S sg n||
oli    ole+i||V s||
koos    koos+0||D||
,    ,+||Z||
mindi    mine+di||V ti||
vastavat    vastav+t||A sg p||
asja    asi+0||S sg p||
ostma    ost+ma||V ma||
.    .+||Z||
</p>
<p heading="0"> 
Minul    mina+l||P sg ad||
pole    ole+0||V neg o||
elus    elus+0||A sg n|| %elu+s||S sg in||
laene    laen+e||S pl p||
olnud    ol=nud+0||A||    ol=nud+0||A sg n||    ol=nud+d||A pl n||    ole+nud||V nud||+
ja    ja+0||J||
pole    ole+0||V neg o||
ka    ka+0||D||
praegu    praegu+0||D||
.    .+||Z||
See    see+0||P sg n||
aga    aga+0||J||
ei    ei+0||V neg||
tähenda    tähenda+0||V o||
,    ,+||Z||
et    et+0||J||
riigid    riik+d||S pl n||
või    või+0||J||
firmad    firma+d||S pl n||
ei    ei+0||V neg||
peaks    pida+ks||V ks||
laenu    laen+0||S sg p||
võtma    võt+ma||V ma||
.    .+||Z||
Kahjuks    kahjuks+0||D||
on    ole+0||V b||+    ole+0||V vad||
maailma    maa_ilm+0||S sg g||
kapitalistlik    kapitalistlik+0||A sg n||
röövmajandus    rööv_majandus+0||S sg n||
laenude    laen+de||S pl g||
ja    ja+0||J||
laenamise    laenamine+0||S sg g||
ning    ning+0||J||
nende    see+de||P pl g||
laenude    laen+de||S pl g||
pealt    pealt+0||K||
rikastumisele    rikastumine+le||S sg all||
üles    üles+0||D||
ehitatud    ehita+tud||V tud||+    ehitatud+0||A||    ehitatud+0||A sg n||    ehitatud+d||A pl n||
.    .+||Z||
Ka    ka+0||D||
Eestis    Eesti+s||H sg in||
on    ole+0||V b||+    ole+0||V vad||
nii    nii+0||D||
,    ,+||Z||
et    et+0||J||
suur    suur+0||A sg n||
hulk    hulk+0||S sg n||
vaeseid    vaene+id||S pl p||
ja    ja+0||J||
keskpäraseid    kesk_pärane+id||A pl p||
peab    pida+b||V b||
teenima    teeni+ma||V ma||
väiksest    väike+st||A sg el||
gruppi    grupp+0||S adt|| %grupp+0||S sg p||
rikkaid    rikas+id||A pl p||
.    .+||Z||
Mulle    mina+lle||P sg all||
see    see+0||P sg n||
ei    ei+0||V neg||
meeldi    meeldi+0||V o||
,    ,+||Z||
aga    aga+0||J||
olukorraga    olu_kord+ga||S sg kom||
tuleb    tule+b||V b||
leppida    leppi+da||V da||
nii    nii+0||D||
kaua    kaua+0||D||
,    ,+||Z||
kuni    kuni+0||J||
rahvas    rahvas+0||S sg n||
oma    oma+0||P sg g||
peaga    pea+ga||S sg kom||
mõtlema    mõtle+ma||V ma||
ei    ei+0||V neg||
hakka    hakka+0||V o||
ja    ja+0||J||
valimistel    valimine+tel||S pl ad||
õiget    õige+t||A sg p||
valikut    valik+t||S sg p||
ei    ei+0||V neg||
tee    tege+0||V o||
.    .+||Z||
</p>
<p heading="0"> 
Rein    Rein+0||H sg n||
Randver    Randver+0||H sg n||
(    (+||Z||
SDE    SDE+0||Y ?||
)    )+||Z||
:    :+||Z||
Valitsuse    valitsus+0||S sg g||
kavast    kava+st||S sg el||
võtta    võt+a||V da||
laenu    laen+0||S sg p||
2009.    2009.+0||O ?||
aastal    aasta+l||S sg ad||
mina    mina+0||S sg g|| %mina+0||S sg n||
teadlik    teadlik+0||A sg n||
ei    ei+0||V neg||
olnud    ol=nud+0||A||    ol=nud+0||A sg n||    ol=nud+d||A pl n||    ole+nud||V nud||+
.    .+||Z||
Meie    mina+0||P pl g||
riik    riik+0||S sg n||
on    ole+0||V b||+    ole+0||V vad||
madalaima    madalaim+0||U sg g||
avaliku    avalik+0||A sg g||
sektori    sektor+0||S sg g||
võlakoormusega    võla_koormus+ga||S sg kom||
eurotsoonis    euro_tsoon+s||S sg in||
–    -+||Z||
see    see+0||P sg n||
on    ole+0||V b||+    ole+0||V vad||
965    965+0||N ?||
miljonit    miljon+t||N sg p||
eurot    euro+t||S sg p||
ehk    ehk+0||J||
kuus    kuus+0||N sg n||
protsenti    protsent+0||S sg p||
sisemajanduse    sise_majandus+0||S sg g||
koguproduktist    kogu_produkt+st||S sg el||
(    (+||Z||
SKP    skp+0||Y ?||
).    ).+||Z||
Niisuguse    nii_sugune+0||P sg g||
numbriga    number+ga||S sg kom||
oleme    ole+me||V me||
pailapsed    pai_laps+d||S pl n||
Euroopa    Euroopa+0||H sg g||
Liidus    liit+s||S sg in||
.    .+||Z||
Samas    samas+0||D||
erasektori    era_sektor+0||S sg g||
võlg    võlg+0||S sg n||
on    ole+0||V b||+    ole+0||V vad||
vastupidi    vastu_pidi+0||D||
üks    üks+0||N sg n||
suuremaid    suurem+id||C pl p||
.    .+||Z||
Paljud    palju+d||P pl n||
Eesti    Eesti+0||H sg g||
pered    pere+d||S pl n||
on    ole+0||V b||    ole+0||V vad||+
võtnud    võt+nud||V nud||+    võt=nud+0||A||    võt=nud+0||A sg n||    võt=nud+d||A pl n||
aastateks    aasta+teks||S pl tr||
suuri    suur+i||A pl p||
laene    laen+e||S pl p||
,    ,+||Z||
mille    mis+0||P pl g||+    mis+0||P sg g||
tagasimaksmiseks    tagasi_maksmine+ks||S sg tr||
tehakse    tege+akse||V takse||
suuri    suur+i||A pl p||
pingutusi    pingutus+i||S pl p||
.    .+||Z||
Valitsuses    valitsus+s||S sg in||
vastu    vastu+0||D||
võetud    võetud+0||A||+    võetud+0||A sg n||    võetud+d||A pl n||    võt+tud||V tud||
järgmise    järgmine+0||A sg g||
nelja    neli+0||N sg g||
aasta    aasta+0||S sg g||
eelarvestrateegia    eel_arve_strateegia+0||S sg g||
kohaselt    kohaselt+0||K||
laenu    laen+0||S sg g|| %laen+0||S sg p||
võtmata    võt+mata||V mata||
riik    riik+0||S sg n||
hakkama    hakka+ma||V ma||
ei    ei+0||V neg||
saa    saa+0||V o||
.    .+||Z||
Valitsuse    valitsus+0||S sg g||
võlakoormus    võla_koormus+0||S sg n||
kasvab    kasva+b||V b||
tuleval    tulev+l||A sg ad||
aastal    aasta+l||S sg ad||
strateegia    strateegia+0||S sg g||
järgi    järgi+0||K||
11    11+0||N ?||
protsendini    protsent+ni||S sg ter||
SKPst    SKP+st||Y sg el||
.    .+||Z||
Arvan    arva+n||V n||
,    ,+||Z||
et    et+0||J||
Eestis    Eesti+s||H sg in||
on    ole+0||V b||+    ole+0||V vad||
valdkondi    valdkond+i||S pl p||
,    ,+||Z||
mida    mis+da||P pl p||+    mis+da||P sg p||
tuleks    tule+ks||V ks||
tuleviku    tulevik+0||S sg g||
nimel    nimel+0||K||
lahendada    lahenda+da||V da||
palju    palju+0||D||
kiiremini    kiiremini+0||D||
(    (+||Z||
kokkuvõttes    kokku_võte+s||S sg in||
ka    ka+0||D||
odavamalt    odavamalt+0||D||
!    !+||Z||
),    ),+||Z||
kui    kui+0||D||    kui+0||J||+
praegu    praegu+0||D||
seda    see+da||P sg p||
riigieelarvest    riigi_eel_arve+st||S sg el||
tehakse    tege+akse||V takse||
.    .+||Z||
Näiteks    näide+ks||S sg tr||
haridus    haridus+0||S sg n||
kõikidel    kõik+del||P pl ad||
tasanditel    tasand+tel||S pl ad||
.    .+||Z||
</p>
<p heading="0"> 
Ka    ka+0||D||
minul    mina+l||P sg ad||
on    ole+0||V b||+    ole+0||V vad||
laenukohustusi    laenu_kohustus+i||S pl p||
.    .+||Z||
</p>
<p heading="0"> 
Urmas    Urmas+0||H sg n||
Klaas    Klaas+0||H sg n||+    Klaas+0||H sg n||
(    (+||Z||
Reformierakond    Reformi_erakond+0||H sg n||+    Reformi_erakond+0||H sg n||
)    )+||Z||
:    :+||Z||
2009.    2009.+0||O ?||
aastal    aasta+l||S sg ad||
oli    ole+i||V s||
riigi    riik+0||S sg g||
rahaline    rahaline+0||A sg n||
seis    seis+0||S sg n||
tõesti    tõesti+0||D||
keeruline    keeruline+0||A sg n||
.    .+||Z||
Toonase    toonane+0||A sg g||
rahandusministri    rahandus_minister+0||S sg g||
nägemuse    nägemus+0||S sg g||
kohaselt    kohaselt+0||K||
oleks    ole+ks||V ks||
tulude    tulu+de||S pl g||
kasvatamise    kasvatamine+0||S sg g||
parim    parim+0||U sg n||
moodus    moodus+0||S sg n||
olnud    ol=nud+0||A||    ol=nud+0||A sg n||    ol=nud+d||A pl n||    ole+nud||V nud||+
laenu    laen+0||S sg g||
võtmine    võtmine+0||S sg n||
.    .+||Z||
Praegu    praegu+0||D||
räägivad    rääki+vad||V vad||
tema    tema+0||P sg g||
erakonnakaaslased    erakonna_kaaslane+d||S pl n||
(    (+||Z||
sotsiaaldemokraadid    sotsiaal_demo_kraat+d||S pl n||
)    )+||Z||
sellest    see+st||P sg el||
,    ,+||Z||
et    et+0||J||
vaja    vaja+0||D||
oleks    ole+ks||V ks||
makse    maks+e||S pl p||
tõsta    tõst+a||V da||
ja    ja+0||J||
isegi    isegi+0||D||
uusi    uus+i||A pl p||
makse    maks+e||S pl p||
sisse    sisse+0||D||
viia    vii+a||V da||
(    (+||Z||
automaks    auto_maks+0||S sg n||
,    ,+||Z||
kinnisvaramaks    kinnis_vara_maks+0||S sg n||
),    ),+||Z||
samuti    samuti+0||D||
tõsta    tõst+a||V da||
tulumaksu    tulu_maks+0||S sg p||
.    .+||Z||
Minu    mina+0||P sg g||
veendumuse    veendumus+0||S sg g||
kohaselt    kohaselt+0||K||
ei    ei+0||V neg||
tohi    tohti+0||V o||
laenu    laen+0||S sg p||
võtta    võt+a||V da||
jooksvateks    jooksev+teks||A pl tr||
kuludeks    kulu+deks||S pl tr||
,    ,+||Z||
ülelaenamise    üle_laenamine+0||S sg g||
tõttu    tõttu+0||K||
ägisevad    ägise+vad||V vad||
praegu    praegu+0||D||
õige    õige+0||A sg n|| %õige+0||D||
mitmed    mitu+d||P pl n||
Euroopa    Euroopa+0||H sg g||
riigid    riik+d||S pl n||
.    .+||Z||
Hull    Hull+0||H sg n||    Hull+0||H sg n|| %hull+0||A sg n||
lugu    lugu+0||S sg n||
on    ole+0||V b||+    ole+0||V vad||
selles    see+s||P sg in||
,    ,+||Z||
et    et+0||J||
rahvastik    rahvastik+0||S sg n||
vananeb    vanane+b||V b||
,    ,+||Z||
töötavate    töötav+te||A pl g||
inimeste    inimene+te||S pl g||
arv    arv+0||S sg n||
väheneb    vähene+b||V b||
ning    ning+0||J||
laenude    laen+de||S pl g||
tagasimaksmine    tagasi_maksmine+0||S sg n||
läheb    mine+b||V b||
järjest    järjest+0||D||
keerulisemaks    keerulisem+ks||C sg tr||
.    .+||Z||
Kindlasti    kindlasti+0||D||
ei    ei+0||V neg||
soovi    soovi+0||V o||
ma    mina+0||P sg n||
Eestile    Eesti+le||H sg all||
sellist    selline+t||P sg p||
saatust    saatus+t||S sg p||
.    .+||Z||
</p>
<p heading="0"> 
Riik    riik+0||S sg n||
ja    ja+0||J||
ka    ka+0||D||
omavalitsused    oma_valitsus+d||S pl n||
võivad    või+vad||V vad||
laenu    laen+0||S sg p||
võtta    võt+a||V da||
investeeringuteks    investeering+teks||S pl tr||
ja    ja+0||J||
ka    ka+0||D||
seda    see+da||P sg p||
tagasihoidlikult    tagasi_hoidlikult+0||D||
.    .+||Z||
Tuleb    tule+b||V b||
mõelda    mõtle+da||V da||
sellele    see+le||P sg all||
,    ,+||Z||
et    et+0||J||
neid    see+d||P pl p||
investeeringuid    investeering+id||S pl p||
on    ole+0||V b||+    ole+0||V vad||
vaja    vaja+0||D||
hiljem    hiljem+0||D||
ka    ka+0||D||
ülal    ülal+0||D||
pidada    pida+da||V da||
ja    ja+0||J||
seda    see+da||P sg p||
on    ole+0||V b||+    ole+0||V vad||
vaja    vaja+0||D||
teha    tege+a||V da||
jooksvatest    jooksev+test||A pl el||
tuludest    tulu+dest||S pl el||
.    .+||Z||
</p>
<p heading="0"> 
Eesti    Eesti+0||H sg g||
riigirahandus    riigi_rahandus+0||S sg n||
on    ole+0||V b||+    ole+0||V vad||
praegu    praegu+0||D||
õnneks    õnn+ks||S sg tr||
korras    kord+s||S sg in||
ja    ja+0||J||
madala    madal+0||A sg g||
riigivõla    riigi_võlg+0||S sg g||
tõttu    tõttu+0||K||
ei    ei+0||V neg||
pea    pida+0||V o||
kartma    kart+ma||V ma||
,    ,+||Z||
et    et+0||J||
Ansipi    Ansip+0||H sg g||
valitsus    valitsus+0||S sg n||
hakkab    hakka+b||V b||
makse    maks+e||S pl p||
tõstma    tõst+ma||V ma||
selleks    see+ks||P sg tr||
,    ,+||Z||
et    et+0||J||
laene    laen+e||S pl p||
tagasi    tagasi+0||K||
maksta    maks+ta||V da||
.    .+||Z||
</p>
<p heading="0"> 
Mina    mina+0||P sg n||
olen    ole+n||V n||
võtnud    võt+nud||V nud||+    võt=nud+0||A||    võt=nud+0||A sg n||    võt=nud+d||A pl n||
eluasemelaenu    elu_aseme_laen+0||S sg p||
ja    ja+0||J||
seda    see+da||P sg p||
loogika    loogika+0||S sg g||
järgi    järgi+0||K||
,    ,+||Z||
et    et+0||J||
mida    mis+da||P pl p||    mis+da||P sg p||+
vähem    vähem+0||D||
laenu    laen+0||S sg p||
võtad    võt+d||V d||
,    ,+||Z||
seda    see+da||P sg p||
parem    parem+0||C sg n||
.    .+||Z||
</p>
<gap/>
<p heading="0"> 
Eesti    Eesti+0||H sg g||
võlakoormus    võla_koormus+0||S sg n||
on    ole+0||V b||+    ole+0||V vad||
6,1    6,1+0||N ?||
protsenti    protsent+0||S sg p||
SKTst    SKT+st||Y sg el||
ja    ja+0||J||
see    see+0||P sg n||
on    ole+0||V b||+    ole+0||V vad||
Euroopa    Euroopa+0||H sg g||
Liidus    liit+s||S sg in||
väikseim    väikseim+0||U sg n||
.    .+||Z||
Me    mina+0||P pl n||
ei    ei+0||V neg||
pea    pida+0||V o||
maksma    maks+ma||V ma||
tohutuid    tohutu+id||A pl p||
intresse    intress+e||S pl p||
ja    ja+0||J||
saame    saa+me||V me||
selle    see+0||P sg g||
raha    raha+0||S sg p|| %raha+0||S sg g||
kasutada    kasuta+da||V da||
riigi    riik+0||S sg g||
sees    sees+0||K||
.    .+||Z||
Samas    samas+0||D||
ei    ei+0||V neg||
saa    saa+0||V o||
öelda    ütle+da||V da||
,    ,+||Z||
et    et+0||J||
laenu    laen+0||S sg p||
ei    ei+0||V neg||
võiks    või+ks||V ks||
iialgi    iialgi+0||D||
ega    ega+0||J||
mitte    mitte+0||D||
mingil    mingi+l||P sg ad||
juhul    juht+l||S sg ad||
võtta    võt+a||V da||
.    .+||Z||
Tuleb    tule+b||V b||
lihtsalt    lihtsalt+0||D||
endale    ise+le||P sg all||
väga    väga+0||D||
hästi    hästi+0||D||
selgeks    selge+ks||A sg tr||
teha    tege+a||V da||
:    :+||Z||
1    1+0||N ?||
)    )+||Z||
milleks    mis+ks||P pl tr||    mis+ks||P sg tr||+
laenu    laen+0||S sg p||
võtta    võt+a||V da||
,    ,+||Z||
2    2+0||N ?||
)    )+||Z||
millised    milline+d||P pl n||
on    ole+0||V b||    ole+0||V vad||+
laenutingimused    laenu_tingimus+d||S pl n||
,    ,+||Z||
3    3+0||N ?||
)    )+||Z||
kuidas    kuidas+0||D||
suudetakse    suut+takse||V takse||
laen    laen+0||S sg n||
tagasi    tagasi+0||D||
maksta    maks+ta||V da||
,    ,+||Z||
4    4+0||N ?||
)    )+||Z||
mis    mis+0||P pl n||    mis+0||P sg n||+
jääb    jää+b||V b||
intresside    intress+de||S pl g||
ja    ja+0||J||
tagasimakse    tagasi_makse+0||S sg g||
kohustuse    kohustus+0||S sg g||
tõttu    tõttu+0||K||
tegemata    tege+mata||V mata||
.    .+||Z||
</p>
<p heading="0"> 
Ka    ka+0||D||
nimetatud    nimeta+tud||V tud||    nimetatud+0||A||+    nimetatud+0||A sg n||    nimetatud+d||A pl n||
2009.    2009.+0||O ?||
aastal    aasta+l||S sg ad||
võttis    võt+is||V s||
Eesti    Eesti+0||H sg g|| %Eesti+0||H sg n||
Euroopa    Euroopa+0||H sg g||
Investeerimispangalt    investeerimis_pank+lt||S sg abl||
550    550+0||N ?||
miljonit    miljon+t||N sg p||
laenu    laen+0||S sg p||
välisvahendite    välis_vahend+te||S pl g||
kaasfinantseerimiseks    kaas_finantseerimine+ks||S sg tr||
(    (+||Z||
keskkonnainvesteeringute    keskkonna_investeering+te||S pl g||
keskuse    keskus+0||S sg g||
kaudu    kaudu+0||K||
näiteks    näide+ks||S sg tr||
omavalitsustele    oma_valitsus+tele||S pl all||
edasilaenamiseks    edasi_laenamine+ks||S sg tr||
).    ).+||Z||
Sellest    see+st||P sg el||
ei    ei+0||V neg||
ole    ole+0||V o||
mingit    mingi+t||P sg p||
saladust    saladus+t||S sg p||
tehtud    tehtud+0||A||    tehtud+0||A sg n||    tehtud+d||A pl n||    tege+tud||V tud||+
–    -+||Z||
nimetatud    nimeta+tud||V tud||    nimetatud+0||A||+    nimetatud+0||A sg n||    nimetatud+d||A pl n||
laenu    laen+0||S sg g||
võtmine    võtmine+0||S sg n||
käis    käi+s||V s||
läbi    läbi+0||K||
Riigikogu    riigi_kogu+0||S sg g|| %Riigi_kogu+0||H sg g||
.    .+||Z||
</p>
<p heading="0"> 
Ise    ise+0||P pl n||    ise+0||P sg n||+
olen    ole+n||V n||
laenu    laen+0||S sg p||
võtnud    võt+nud||V nud||+    võt=nud+0||A||    võt=nud+0||A sg n||    võt=nud+d||A pl n||
harva    harva+0||D||
ja    ja+0||J||
enne    enne+0||K||
põhjalikult    põhjalikult+0||D||
kalkuleerides    kalkuleeri+des||V des||
.    .+||Z||
Laenu    laen+0||S sg g||
võtmise    võtmine+0||S sg g||
kasuks    kasu+ks||S sg tr||
rääkis    rääki+s||V s||
inflatsioonist    inflatsioon+st||S sg el||
väiksem    väiksem+0||C sg n||
intress    intress+0||S sg n||
.    .+||Z||
Seega    seega+0||D||
puhtalt    puhtalt+0||D||
majanduslik    majanduslik+0||A sg n||
kaalutlus    kaalutlus+0||S sg n||
.    .+||Z||
Kinnisvara    kinnis_vara+0||S sg g||
ostmisega    ostmine+ga||S sg kom||
seotud    seotud+0||A||+    seotud+0||A sg n||    seotud+d||A pl n||    sidu+tud||V tud||
kohustusi    kohustus+i||S pl p||
on    ole+0||V b||+    ole+0||V vad||
mul    mina+l||P sg ad||
umbes    umbes+0||D||
80    80+0||N ?||
000    000+0||N ?||
eurot    euro+t||S sg p||
,    ,+||Z||
lisaks    lisa+ks||S sg tr||
autoliising    auto_liising+0||S sg n||
,    ,+||Z||
mis    mis+0||P pl n||    mis+0||P sg n||+
on    ole+0||V b||+    ole+0||V vad||
kuskil    kuskil+0||D||
30    30+0||N ?||
000    000+0||N ?||
eurot    euro+t||S sg p||
.    .+||Z||
</p>
<gap/>
<p heading="1"> 
Küsitlus    küsitlus+0||S sg n||
</p>
</doc>
<doc id="289336" length="1k-10k" crawl_date="2013-01-10" url="http://www.vorumaateataja.ee/index.php/ee/63-viimased-uudised/5815-vorumaa-teataja-malumanguturniir-13-osa" web_domain="www.vorumaateataja.ee" langdiff="0.34" texttype="periodicals"> 
<gap/>
<p heading="0"> 
1.    1.+0||O ?||
See    see+0||P sg n||
taim    taim+0||S sg n||
on    ole+0||V b||+    ole+0||V vad||
valitud    valitud+0||A||    valitud+0||A sg n||    valitud+d||A pl n||    vali+tud||V tud||+
San    San+||H ?||
Marinos    Marino+s||H sg in||
rahvustaimeks    rahvus_taim+ks||S sg tr||
.    .+||Z||
Samuti    samuti+0||D||
on    ole+0||V b||+    ole+0||V vad||
see    see+0||P sg n||
taim    taim+0||S sg n||
pühendatud    pühenda+tud||V tud||+    pühendatud+0||A||    pühendatud+0||A sg n||    pühendatud+d||A pl n||
neitsi    neitsi+0||S sg n||
Maarjale    Maarja+le||H sg all||
ja    ja+0||J||
rahvapäraselt    rahva_pärase=lt+0||D||
kannab    kand+b||V b||
ta    tema+0||P sg g|| %tema+0||P sg n||
nimetust    nimetus+t||S sg p||
veritsev    veritsev+0||A sg n||
nunn    nunn+0||S sg n||
.    .+||Z||
Mis    mis+0||P pl n||    mis+0||P sg n||+
taimega    taim+ga||S sg kom||
on    ole+0||V b||+    ole+0||V vad||
tegu    tegu+0||S sg n||
?    ?+||Z||
</p>
<p heading="0"> 
2.    2.+0||O ?||
Millal    millal+0||D||
tähistatakse    tähista+takse||V takse||
Eestis    Eesti+s||H sg in||
üleriigilist    üle_riigiline+t||A sg p||
ettelugemise    ette_lugemine+0||S sg g||
päeva    päev+0||S sg p||
?    ?+||Z||
</p>
<p heading="0"> 
3.    3.+0||O ?||
Jalgpall    jalg_pall+0||S sg n||
on    ole+0||V b||+    ole+0||V vad||
esimene    esimene+0||O sg n||
spordiala    spordi_ala+0||S sg n||
,    ,+||Z||
kus    kus+0||D||
võeti    võt+ti||V ti||
kasutusele    kasutus+le||S sg all||
hoiatuskaardid    hoiatus_kaart+d||S pl n||
.    .+||Z||
Millest    mis+st||P pl el||    mis+st||P sg el||+
lähtuvalt    lähtuvalt+0||D||
on    ole+0||V b||    ole+0||V vad||+
aga    aga+0||J||
jalgpalli    jalg_pall+0||S sg g||
hoiatuskaardid    hoiatus_kaart+d||S pl n||
sellist    selline+t||P sg p||
värvi    värv+0||S sg p||
,    ,+||Z||
nagu    nagu+0||D||    nagu+0||J||+
nad    tema+d||P pl n||
on    ole+0||V b||    ole+0||V vad||+
?    ?+||Z||
--    --+||Z||
==========    ==========+||Z||
tykk/88/aken_enl_ee.tykk:
<doc id="356052" length="1k-10k" crawl_date="2013-01-13" url="http://aken.enl.ee/?class=document&action=print&section=5403" web_domain="aken.enl.ee" langdiff="0.34" texttype="periodicals"> 
<gap/>
<p heading="0"> 
12-st    12+st||N sg el||
ELi    EL+i||Y sg g||
liikmesriigi    liikmes_riik+0||S sg g||
pealinnast    pea_linn+st||S sg el||
pärit    pärit+0||X||
noored    noor+d||A pl n|| %noor+d||S pl n||
ja    ja+0||J||
nende    tema+de||P pl g||
saatjad    saatja+d||S pl n||
leidsid    leid+sid||V sid||
ühiste    ühine+te||A pl g||
arutelude    arutelu+de||S pl g||
tulemusel    tulemus+l||S sg ad||
,    ,+||Z||
et    et+0||J||
laste-    laps+te||S pl g|| %laps+te||S ?||
ja    ja+0||J||
noortesõbralik    noor+te_sõbra=lik+0||A sg n||
linn    linn+0||S sg n||
peab    pida+b||V b||
pakkuma    pakku+ma||V ma||
tasuta    tasu+ta||S sg ab||
haridust    haridus+t||S sg p||
ning    ning+0||J||
juurutama    juuruta+ma||V ma||
noorte    noor+te||S pl g||
aktiivset    aktiivne+t||A sg p||
osalust    osalus+t||S sg p||
.    .+||Z||
Peale    peale+0||K||
selle    see+0||P sg g||
rääkisid    rääki+sid||V sid||
noored    noor+d||S pl n||
põlvkondade-    põlvkond+de||S pl g|| %põlvkond+de||S ?||
ja    ja+0||J||
kultuuridevahelistest    kultuuri+de_vaheline+test||A pl el||
suhetest    suhe+test||S pl el||
,    ,+||Z||
transpordiprobleemidest    transpordi_probleem+dest||S pl el||
ning    ning+0||J||
tervishoiust    tervis_hoid+st||S sg el||
ja    ja+0||J||
noortepoliitika    noor+te_poliitika+0||S sg g||
rakendamise    rakendamine+0||S sg g||
raskustest    raskus+test||S pl el||
.    .+||Z||
</p>
<p heading="0"> 
Noored    noor+d||S pl n||
leidsid    leid+sid||V sid||
,    ,+||Z||
et    et+0||J||
ideaalses    ideaalne+s||A sg in||
laste-    laps+te||S pl g|| %laps+te||S ?||
ja    ja+0||J||
noortesõbralikus    noor+te_sõbra=lik+s||A sg in||
linnas    linn+s||S sg in||
peaks    pida+ks||V ks||
arvestatama    arvesta+tama||V tama||
laste    laps+te||S pl g||
ja    ja+0||J||
noorte    noor+te||A pl g|| %noor+te||S pl g||
arvamusega    arvamus+ga||S sg kom||
,    ,+||Z||
pakkudes    pakku+des||V des||
selleks    see+ks||P sg tr||
foorumite    foorum+te||S pl g||
,    ,+||Z||
volikogude    voli_kogu+de||S pl g||
jt    jt+0||Y ?||
osalusvormide    osalus_vorm+de||S pl g||
asutamise    asutamine+0||S sg g||
võimalust    võimalus+t||S sg p||
.    .+||Z||
Eraldi    eraldi+0||D||
teemana    teema+na||S sg es||
käsitleti    käsitle+ti||V ti||
ka    ka+0||D||
põlvkondade-    põlvkond+de||S pl g|| %põlvkond+de||S ?||
ja    ja+0||J||
kultuuridevaheliste    kultuuri+de_vaheline+te||A pl g||
dialoogide    dialoog+de||S pl g||
pidamise    pidamine+0||S sg g||
vajalikkust    vajalikkus+t||S sg p||
.    .+||Z||
Ideaalses    ideaalne+s||A sg in||
linnas    linn+s||S sg in||
ei    ei+0||V neg||
ole    ole+0||V o||
vähemusgrupid    vähemus_grupp+d||S pl n||
isoleeritud    isoleeri+tud||V tud||+    isoleeritud+0||A||    isoleeritud+0||A sg n||    isoleeritud+d||A pl n||
,    ,+||Z||
vaid    vaid+0||J||
osalevad    osale+vad||V vad||
aktiivselt    aktiivselt+0||D||
otsustusprotsessides    otsustus_protsess+des||S pl in||
.    .+||Z||
„    „+||Z||
Ideaalse    Ideaalne+0||H sg g||    Ideaalse+0||H sg g|| %ideaalne+0||A sg g||
laste-    laps+te||S pl g|| %laps+te||S ?||
ja    ja+0||J||
noortesõbraliku    noor+te_sõbra=lik+0||A sg g||
linna    linn+0||S sg g||
jaoks    jaoks+0||K||
on    ole+0||V b||    ole+0||V vad||+
lapsed    laps+d||S pl n||
ja    ja+0||J||
noored    noor+d||A pl n|| %noor+d||S pl n||
prioriteet    prioriteet+0||S sg n||
!”    !”+||Z||
ütles    ütle+s||V s||
üks    üks+0||P sg n||
Ljubljanast    Ljubljana+st||H sg el||
